,ra,dec,g,r,i,z
0,350.339591943199,-3.55996263530914,12.51372,11.63532,11.40779,11.35866
1,350.339591958533,-3.5599626055189,12.51093,11.63365,11.40507,11.35852
2,350.339593830198,-3.55997761960781,12.51046,11.63355,11.40396,11.35827
3,350.340270105732,-3.45976198939716,18.52395,17.61272,17.28904,17.09917
4,350.340283359147,-3.45977190651299,18.52426,17.61221,17.28968,17.10223
5,350.359620751419,-3.53783003860769,19.03576,17.60774,16.79638,16.33331
6,350.359627916304,-3.5378292193417,19.03422,17.60751,16.79651,16.33296
7,350.391897362504,-3.52753542636235,18.95423,18.2909,18.05313,17.90786
8,350.391897362509,-3.52753542635113,18.95423,18.2909,18.05313,17.90787
9,350.391904320995,-3.52753457407825,18.95056,18.28863,18.04997,17.90657
10,350.411520421319,-3.57092098524991,18.87187,18.4051,18.27264,18.25073
11,350.411520421319,-3.57092098524991,18.87187,18.4051,18.27264,18.25073
12,350.411526872014,-3.57092134283315,18.87209,18.40432,18.27342,18.25733
13,350.422070266761,-3.47927462934142,17.69193,16.37175,15.78449,15.47047
14,350.422070266781,-3.47927462930217,17.6919,16.37175,15.78447,15.47043
15,350.422077648178,-3.47927366372894,17.69145,16.37156,15.78449,15.47008
16,350.315292680016,-3.54548193252887,19.88712,19.82305,19.55977,19.42996
17,350.325188544593,-3.5432147526172,19.09473,18.34622,18.05593,17.89697
18,350.325195875586,-3.54321434650363,19.09506,18.3463,18.05466,17.90741
19,350.347126940454,-3.4698283697806,19.06959,17.6025,16.725,16.23663
20,350.347140213648,-3.46986006764338,19.08359,17.66824,16.76081,16.26959
21,350.347140522558,-3.46983903551454,19.07089,17.60221,16.72537,16.23854
22,350.347146693194,-3.46985922522975,19.08361,17.66838,16.76064,16.26995
23,350.388672116376,-3.50450341244166,14.53636,15.11807,14.0348,13.90727
24,350.388674883598,-3.50448874857065,14.53644,15.11233,14.03609,13.90733
25,350.388675567014,-3.50448767032437,14.53639,15.12555,14.03627,13.90733
26,350.316015927649,-3.49330547504438,18.08471,17.2186,16.87852,16.72855
27,350.316022685359,-3.49330538707384,18.08542,17.21903,16.87837,16.73002
28,350.369549541169,-3.56565768427598,19.32197,17.79231,16.75083,16.17467
29,350.369556493594,-3.5656572646945,19.32104,17.79229,16.75094,16.17466
30,350.423357497052,-3.52567064432736,19.28679,18.10776,17.67367,17.37507
31,350.423364210982,-3.52567031942538,19.28572,18.10692,17.67419,17.37338
32,350.308796027201,-3.54855536681865,19.30206,18.76865,18.58113,18.47571
33,350.308803354309,-3.54855516862846,19.30311,18.77077,18.57956,18.48764
34,350.318365300472,-3.51147398008057,16.2155,15.48126,15.19719,15.06099
35,350.318365300472,-3.51147398008057,16.2155,15.48126,15.19719,15.06099
36,350.318372333831,-3.51147369520226,16.21555,15.48132,15.19714,15.0613
37,350.40315352853,-3.520371723684,19.89397,18.95478,18.5853,18.39749
38,350.403160490626,-3.52037103508901,19.89092,18.95449,18.58955,18.39253
39,350.434790158284,-3.46061098361044,19.39785,18.26413,17.85409,17.52356
40,350.434803456188,-3.46062257192709,19.39882,18.2638,17.8542,17.52537
41,350.382836381806,-3.45113866543753,18.53676,17.24747,16.6924,16.394
42,350.382849939089,-3.45114833608809,18.53645,17.24729,16.69209,16.3937
43,350.383925164398,-3.47776876378531,19.26278,18.22897,17.7629,17.51737
44,350.383925164398,-3.47776876378531,19.26278,18.22897,17.7629,17.51737
45,350.383932272601,-3.47776748823317,19.26214,18.22899,17.76369,17.51984
46,350.394087209915,-3.54010460976734,11.29648,10.63218,10.5085,10.83815
47,350.394087213485,-3.54010461601305,11.29543,10.6304,10.50469,10.83811
48,350.394088121781,-3.54011578905128,11.29478,10.63001,10.50418,10.83751
49,350.352734763007,-3.52475548295173,14.87085,14.42552,14.26225,14.18753
50,350.352734763007,-3.52475548295173,14.87085,14.42552,14.26225,14.18753
51,350.352742076608,-3.52475463737852,14.8708,14.42552,14.26223,14.1878
52,350.363809424139,-3.52126058777469,17.30593,16.37924,16.05811,15.8517
53,350.363809430755,-3.52126058806208,17.30572,16.37912,16.05807,15.85161
54,350.363816510902,-3.52125956525598,17.30565,16.37914,16.05806,15.85207
55,350.374154024534,-3.44977555803616,15.73959,15.21642,15.01394,14.96586
56,350.374165589345,-3.44978332597303,15.72802,15.22235,15.00934,14.97079
57,350.374165589345,-3.44978332597303,15.72802,15.22235,15.00934,14.97079
58,350.374166255268,-3.44978570081653,15.73971,15.21632,15.01398,14.96679
59,350.374179238573,-3.44979249587309,15.72797,15.2223,15.0093,14.9706
60,350.376427982493,-3.52774202235819,16.17266,15.81596,15.70843,15.66073
61,350.37642798676,-3.52774201401077,16.17176,15.81596,15.70559,15.65877
62,350.37643503843,-3.52774112537788,16.17172,15.81585,15.70554,15.6586
63,350.354352709585,-3.49346203912969,18.29051,16.83225,16.03777,15.59201
64,350.354359681296,-3.4934610688287,18.29094,16.83229,16.03779,15.59208
65,350.385639173083,-3.48198406177217,15.82117,15.14635,14.85646,14.74316
66,350.385646383413,-3.48198278499388,15.82112,15.14631,14.85638,14.74332
67,350.396322655716,-3.49799300222918,16.02413,15.48747,15.24932,15.16414
68,350.396322655716,-3.49799300222918,16.02413,15.48747,15.24932,15.16414
69,350.396329742173,-3.49799199276788,16.02408,15.48746,15.2493,15.16365
